date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
02 - 13,"293,86","295,87","295,87","296,53","306,03","298,22","314,78","315,12","296,79","280,49","295,64","295,87","295,87","294,20","295,31","295,31",,"300,08"
03 - 13,"343,91","347,20","347,20","352,62","352,69","347,45","349,32","349,46","354,38","324,05","354,38","347,20","347,20","345,73","338,81","338,82",,"357,51"
04 - 13,"342,69","341,31","341,31","351,04","351,04","340,74","338,65","341,08","351,54","343,62","351,54","341,31","341,31","340,55","337,40","359,47",,"366,75"
05 - 13,"273,52","271,87","271,87","271,87","271,87","274,94","244,24","246,11","275,72","275,72","275,72","272,67","272,67","272,67","274,59","304,33",,"329,55"
06 - 13,"287,04","285,31","285,31","285,31","285,57","285,31","273,40","275,77","289,03","289,01","289,03","286,04","286,04","286,04","282,97","308,11",,"325,65"
07 - 13,"302,57","301,45","301,45","301,45","301,61","301,45","307,43","307,57","302,62","302,62","302,62","301,45","301,45","301,45","307,77","313,90",,"327,39"
08 - 13,"298,47","295,49","295,49","295,49","296,55","295,49","304,77","304,77","299,52","297,09","299,52","295,81","295,81","295,70","301,83","309,50",,"289,40"
09 - 13,"299,33","295,61","295,61","295,61","297,92","300,02","295,73","316,39","302,94","302,94","302,94","296,05","296,05","295,95","297,70","299,46",,"295,23"
10 - 13,"304,89","301,94","301,94","301,94","301,95","310,65","268,99","279,46","309,06","309,06","309,23","302,35","302,35","301,97","294,10","300,50",,"321,11"
11 - 13,"349,20","348,62","348,62","348,62","348,62","349,73","291,67","304,17","351,50","350,38","351,50","348,62","348,62","348,62","353,06","369,80",,"371,82"
12 - 13,"353,29","352,30","352,30","352,30","352,30","356,25","310,94","327,06","355,57","354,88","355,70","352,30","352,30","352,30","366,70","366,89",,"347,85"
13 - 13,"352,22","347,09","347,09","347,09","347,09","347,09","341,77","343,33","354,71","354,18","365,83","347,13","347,13","347,09","361,70","366,22",,"382,85"
14 - 13,"377,94","373,01","373,01","373,01","373,01","373,01","370,59","370,59","382,95","382,73","400,92","403,62","403,62","355,12","378,42","380,15",,"368,92"
15 - 13,"396,97","390,13","390,13","390,13","390,13","390,13","375,94","387,58","403,59","403,58","403,61","391,31","391,31","390,52","401,80","420,89",,"437,20"
16 - 13,"321,98","302,25","302,25","302,25","302,25","302,46","284,75","295,05","342,15","342,15","342,46","327,88","327,88","316,44","292,26","299,15",,"294,43"
17 - 13,"299,04","271,09","271,09","271,09","274,85","271,09","271,74","271,73","321,57","321,57","322,10","289,31","289,31","289,31","248,41","248,41",,"270,04"
18 - 13,"300,60","278,17","278,17","278,17","278,34","278,17","276,35","278,79","323,55","321,71","324,31","293,17","293,17","292,82","261,80","261,80",,"254,27"
19 - 13,"283,86","281,53","281,53","281,53","281,53","281,53","280,32","281,35","287,40","287,40","287,40","286,41","286,41","287,56","271,14","292,13",,"320,18"
20 - 13,"268,83","269,46","269,46","269,46","269,46","271,70","265,96","270,41","269,02","268,86","269,02","269,46","269,46","269,46","273,33","303,29",,"328,64"
21 - 13,"260,53","272,01","272,01","272,01","275,08","280,81","272,34","281,94","249,23","249,23","249,23","263,69","263,69","261,30","291,94","321,25",,"360,31"
22 - 13,"276,01","282,05","282,05","282,05","282,05","293,57","285,14","289,21","270,12","270,12","268,10","278,29","278,29","274,19","296,90","304,16",,"329,48"
23 - 13,"289,88","289,92","289,92","289,92","290,10","351,47","742,78","290,10","279,66","279,66","279,66","289,92","289,92","288,97","357,33",,"361,50","361,50"
24 - 13,"273,96","283,79","283,79","283,79","283,79","311,42","277,11","281,83","266,08","266,17","266,08","284,22","284,22","284,22","414,31",,"414,31","414,31"
25 - 13,"227,35","238,66","238,66","238,66","238,66","239,76","237,73","238,72","219,34","219,44","219,34","238,66","238,66","238,66","418,82",,"431,80","431,80"
26 - 13,"246,08","249,60","249,60","249,60","257,18","299,82","245,91","255,35","237,80","237,87","237,75","249,53","249,53","247,12","505,54",,"525,00","525,00"
27 - 13,"250,24","245,00","245,00","245,00","262,14","297,31","262,84","266,61","244,75","244,84","244,67","245,00","245,00","245,02","326,90",,"356,09","356,09"
28 - 13,"254,28","254,71","254,71","254,71","256,68","287,05","258,66","259,58","250,11","250,11","249,48","254,71","254,71","254,71","348,55",,"378,10","378,10"
29 - 13,"273,75","279,39","279,39","279,39","282,94","291,95","283,01","283,47","268,76","268,76","264,63","276,45","276,45","276,45","310,38",,"373,30","373,30"
30 - 13,"282,01","291,02","291,02","291,02","292,29","291,38","328,32","328,83","272,42","272,42","271,89","288,75","288,75","286,68","292,92",,"397,49","397,49"
31 - 13,"276,69","286,62","286,62","286,62","289,58","297,89","294,45","298,01","268,75","268,75","267,04","280,96","280,96","280,28","305,33",,"465,84","465,84"
32 - 13,"277,12","297,39","297,39","297,39","297,39","350,59","292,39","301,52","260,40","260,40","260,33","284,12","284,12","284,12","350,65",,"432,20","432,20"
33 - 13,"267,26","287,51","287,51","287,51","287,51","320,60","276,52","288,42","254,37","254,37","254,28","268,50","268,50","268,50","316,53",,"381,90","381,90"
34 - 13,"286,67","343,84","343,84","343,84","343,84","355,09","353,01","365,68","253,66","253,74","253,66","285,50","285,50","285,50","352,11",,"383,65","383,65"
35 - 13,"294,01","368,94","368,94","368,94","368,94","368,97","362,01","374,39","264,41","264,41","264,41","316,51","316,51","307,40","375,33",,"409,34","409,34"
36 - 13,"298,17","346,22","346,22","352,25","352,25","362,23","331,12","355,83","277,32","276,81","277,32","345,43","345,43","344,61","359,87",,"480,50","480,50"
37 - 13,"320,04","388,11","388,11","388,37","388,37","441,67","366,71","390,17","284,80","284,23","284,80","368,05","368,05","367,78","437,72",,"483,52","483,52"
38 - 13,"296,71","351,44","351,44","360,38","360,38","361,80","342,09","359,23","275,87","275,87","275,87","331,34","331,34","312,22","359,47",,"472,95","472,95"
39 - 13,"315,32","347,27","347,27","368,23","376,15","373,70","375,19","384,60","297,71","294,88","297,71","342,72","342,72","312,53","369,61",,"523,90","523,90"
40 - 13,"313,86","338,87","338,87","345,58","346,33","348,52","283,22","340,67","306,12","302,01","306,12","339,92","339,92","339,92","352,88",,"656,03","656,03"
41 - 13,"310,30","333,97","333,97","335,16","335,42","335,54","299,46","371,11","301,16","301,16","301,16","333,98","333,98","333,98","335,54",,"498,59","498,59"
42 - 13,"333,12","373,28","373,28","396,21","396,21","477,81","343,53","389,07","311,05","309,95","311,05","373,28","373,28","373,28","482,62",,"598,52","598,52"
43 - 13,"307,36","333,29","333,29","334,92","334,92","339,21","264,97","311,11","293,68","290,73","293,06","334,90","334,90","333,71","351,80",,"421,76","421,76"
44 - 13,"277,32","282,05","282,05","282,05","282,05","329,25","232,10","265,37","275,00","270,38","275,00","284,87","284,87","284,74","350,25",,"376,41","376,41"
45 - 13,"291,15","296,65","296,65","296,65","302,66","297,81","280,73","302,27","286,19","283,46","286,19","306,18","306,18","301,43","351,69",,"386,44","386,44"
46 - 13,"296,72","299,46","299,46","299,46","307,43","307,68","304,73","309,57","292,65","292,63","292,65","299,79","299,79","299,50","337,54",,"383,72","383,72"
47 - 13,"318,92","317,71","317,71","317,71","386,71","326,18","316,66","384,41","309,83","309,78","309,83","317,71","317,71","317,71","362,21",,"452,78","452,78"
48 - 13,"306,65","304,38","304,38","316,77","330,46","322,23","290,20","325,31","301,00","299,12","301,00","304,38","304,38","304,38","340,77",,"341,12","341,12"
49 - 13,"302,71","305,64","305,64","309,38","316,30","330,09","282,94","298,13","294,63","293,08","294,36","303,75","303,75","303,75","337,29",,"337,29","337,29"
50 - 13,"301,58","300,19","300,19","305,11","333,65","348,43","305,12","363,76","295,87","289,62","289,35","299,85","299,85","299,85","369,41",,"389,63","389,63"
51 - 13,"261,37","263,78","263,78","266,15","273,22","298,60","233,24","249,81","259,12","259,12","258,32","259,36","259,36","259,34","312,74",,"316,02","316,02"
52 - 13,"241,42","235,58","235,58","235,58","235,58","237,25","160,87","169,82","248,77","248,77","248,77","235,58","235,58","235,58","237,42",,"237,43","237,43"
01 - 14,"243,51","242,82","242,82","242,82","242,86","267,81","208,01","211,78","245,21","245,21","245,21","242,82","242,82","242,82","271,10",,"302,35","302,35"
