,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
02 - 14,"248,51","248,31","248,31","248,31","248,31","305,57","207,71","211,42","247,40","247,40","246,99","248,31","248,31","248,31","311,75","337,61","337,61"
03 - 14,"299,73","286,75","286,75","303,46","303,46","376,58","283,86","293,30","302,94","301,17","270,67","286,75","286,75","286,75","382,48","383,85","383,85"
04 - 14,"317,33","309,66","309,66","310,29","310,29","359,29","294,01","303,58","307,31","307,05","289,89","309,66","309,66","309,66","371,10","379,26","379,50"
05 - 14,"284,77","277,80","277,80","277,89","277,95","342,60","259,77","264,27","276,88","274,97","275,61","277,80","277,80","277,80","345,59","365,63","365,63"
06 - 14,"261,21","260,23","260,23","260,23","268,95","303,60","241,51","259,39","259,03","259,03","259,03","261,39","261,39","261,39","307,17","348,04","348,32"
07 - 14,"252,79","251,38","251,38","251,38","254,79","295,00","215,54","226,20","252,97","252,97","252,97","253,69","253,69","253,60","307,89","361,68","361,68"
08 - 14,"252,20","253,34","253,34","253,34","259,74","269,23","247,04","258,04","253,70","246,92","248,73","255,57","255,57","255,57","271,29","383,43","383,66"
09 - 14,"239,51","236,61","236,61","236,61","259,01","265,45","263,27","267,58","236,51","236,51","236,51","237,53","237,53","238,05","265,63","332,08","332,08"
10 - 14,"229,65","226,88","226,88","226,88","244,00","248,29","241,83","248,88","227,14","227,08","227,14","227,33","227,33","227,33","252,30","374,13","374,13"
11 - 14,"215,10","213,19","213,19","213,19","220,77","233,94","188,75","203,54","214,34","214,34","213,49","219,99","219,99","219,99","233,94","351,55","351,55"
12 - 14,"207,12","202,68","202,68","202,68","202,68","291,88","185,28","189,73","203,29","201,30","202,22","219,24","219,24","219,24","291,88","360,69","360,69"
13 - 14,"228,83","229,20","229,20","229,30","232,61","255,26","234,34","235,19","227,24","224,70","223,58","230,76","230,76","230,76","264,43","301,81","301,81"
14 - 14,"239,19","255,95","255,95","255,95","255,95","289,28","257,21","257,43","228,50","217,78","218,22","257,90","257,90","256,30","289,28","375,53","375,53"
15 - 14,"210,62","217,61","217,61","217,61","217,61","268,43","216,11","224,80","193,89","193,86","193,89","227,30","227,30","222,20","271,00","316,27","316,27"
16 - 14,"194,63","199,29","199,29","199,29","200,25","258,32","198,85","210,28","185,36","185,34","185,36","203,24","203,24","203,58","258,79","362,24","362,24"
17 - 14,"198,65","213,86","213,86","213,86","213,86","232,12","222,87","223,51","182,55","175,81","182,55","216,02","216,02","216,86","233,03","355,37","355,37"
18 - 14,"212,02","249,59","249,59","249,59","249,59","253,21","276,36","276,39","174,83","174,31","174,83","249,75","249,75","249,93","253,21","428,38","428,38"
19 - 14,"238,19","298,49","298,49","298,49","298,49","306,03","283,18","298,49","188,22","187,43","188,22","294,40","294,40","294,40","314,20","440,50","440,50"
20 - 14,"234,04","301,12","301,12","301,12","301,12","308,97","262,72","301,13","178,54","178,54","178,54","301,05","301,05","301,05","308,97","343,94","343,94"
21 - 14,"194,06","284,00","284,00","284,00","284,19","302,28","287,97","290,28","117,27","117,27","117,27","280,38","280,38","280,38","302,28","450,59","450,59"
22 - 14,"189,98","277,10","277,10","277,10","277,10","298,06","263,24","277,10","131,35","131,35","131,35","260,96","260,96","260,96","298,06","435,74","435,74"
23 - 14,"204,80","280,46","280,46","280,46","280,46","321,49","278,57","281,18","133,82","133,82","133,75","276,94","276,94","258,30","321,49","545,44","545,44"
24 - 14,"187,92","243,91","243,91","253,95","253,95","273,66","250,34","255,70","134,85","134,88","134,80","239,21","239,21","232,18","273,66","424,65","424,65"
25 - 14,"195,70","231,72","231,72","241,33","241,33","241,33","228,73","246,42","156,84","156,84","156,84","227,57","227,57","226,59","241,33","393,18","393,18"
26 - 14,"239,93","280,96","280,96","290,07","293,91","321,68","291,98","296,30","194,81","194,94","194,81","270,27","270,27","270,27","322,54","456,42","456,42"
27 - 14,"237,11","250,02","250,02","250,02","250,02","316,16","262,92","262,96","213,55","213,56","213,55","247,05","247,05","247,05","344,38","382,45","382,45"
28 - 14,"225,84","239,83","239,83","239,83","239,83","290,13","250,53","250,53","211,70","211,70","211,70","239,74","239,74","233,47","338,39","432,70","432,70"
29 - 14,"235,49","247,33","247,33","247,33","247,33","315,45","266,56","266,77","219,36","219,36","219,36","247,30","247,30","241,20","468,70","564,84","564,84"
30 - 14,"247,01","253,19","253,19","253,19","254,08","324,94","256,18","257,21","235,22","235,22","235,22","252,71","252,71","252,71","380,90","492,87","492,87"
31 - 14,"258,51","262,84","262,84","262,84","265,57","320,70","265,91","266,01","250,02","250,02","246,81","261,10","261,10","261,10","320,70","522,17","522,17"
32 - 14,"263,26","298,15","298,15","298,53","298,53","341,70","305,94","298,55","239,01","239,36","239,01","274,79","274,79","274,79","347,91","588,88","588,88"
33 - 14,"259,44","281,43","281,43","281,43","281,43","321,72","223,92","279,27","240,01","240,01","240,01","272,17","272,17","271,71","340,95","468,49","468,49"
34 - 14,"264,13","280,21","280,21","280,21","280,78","297,70","244,16","279,83","244,91","244,91","244,91","277,63","277,63","277,20","297,70","381,50","381,50"
35 - 14,"278,40","296,08","296,08","296,08","297,67","302,78","293,39","297,67","259,45","259,45","255,65","281,13","281,13","280,92","303,73","397,77","397,77"
36 - 14,"282,57","295,66","295,66","295,66","295,66","300,24","292,80","296,48","267,98","267,98","267,98","295,52","295,52","295,52","303,28","425,21","425,21"
37 - 14,"282,43","294,61","294,61","294,61","297,04","310,63","299,03","312,35","267,92","267,92","267,92","293,84","293,84","293,35","442,57","496,77","496,77"
38 - 14,"297,21","315,22","315,22","315,22","315,22","333,80","313,83","322,78","278,77","278,77","278,75","314,58","314,58","314,58","362,14","481,03","481,03"
39 - 14,"280,88","289,12","289,12","289,12","289,12","314,79","276,09","287,58","271,08","271,05","271,06","289,12","289,12","289,12","314,79","466,09","466,09"
40 - 14,"277,41","285,99","285,99","286,10","287,79","294,43","324,31","326,72","266,00","265,98","266,00","285,99","285,99","284,94","294,43","493,43","493,43"
41 - 14,"265,87","272,98","272,98","272,98","272,98","294,90","255,06","272,73","258,67","258,67","258,67","272,22","272,22","272,22","311,48","459,23","460,29"
42 - 14,"273,48","283,70","283,70","283,70","283,70","314,84","277,14","284,16","260,79","260,79","260,79","284,47","284,47","283,66","424,74","425,96","425,96"
43 - 14,"235,06","230,35","230,35","230,35","230,35","323,41","215,15","229,09","211,58","211,58","211,58","253,91","253,91","256,84","325,33","393,28","394,62"
44 - 14,"203,73","207,44","207,44","207,44","207,44","279,45","177,86","218,21","133,96","133,96","133,96","250,52","250,52","253,21","279,45","461,26","462,19"
45 - 14,"234,64","238,31","238,31","238,31","241,14","291,44","225,47","245,31","204,21","204,21","204,21","259,77","259,77","259,77","291,44","435,65","436,07"
46 - 14,"251,53","255,21","255,21","255,21","255,21","304,74","253,79","269,23","237,46","237,46","237,46","264,85","264,85","264,85","304,74","420,93","420,93"
47 - 14,"273,94","273,79","273,79","280,01","281,10","315,83","316,77","321,59","266,79","262,93","266,13","276,19","276,19","276,19","315,83","416,02","416,02"
48 - 14,"276,47","281,62","281,62","293,78","295,45","303,79","280,17","302,98","269,79","269,11","269,79","286,45","286,45","286,45","303,79","449,62","449,62"
49 - 14,"289,43","287,73","287,73","305,61","344,52","326,36","351,23","366,33","282,33","278,20","278,97","287,82","287,82","287,82","326,95","484,42","484,42"
50 - 14,"279,10","279,82","279,82","279,82","279,82","317,99","259,57","275,84","275,78","275,78","275,78","280,23","280,23","280,23","317,99","442,41","442,41"
51 - 14,"281,62","283,19","283,19","283,19","283,19","318,38","205,46","274,70","278,84","278,43","278,84","285,72","285,72","285,72","329,26","410,24","410,24"
52 - 14,"277,39","277,60","277,60","278,26","278,26","298,60","208,56","264,55","277,84","277,33","277,83","279,16","279,16","279,16","298,58","364,38","364,38"
01 - 15,"274,80","257,96","257,96","261,47","262,54","352,41","201,46","216,73","269,97","269,86","269,97","270,89","270,89","270,89","353,39","394,96","394,96"
