Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5
01-01-2015,00 - 01,0,"1040,4",0,1158,0,150,700,0,0,"1131,3",0,"85,7",0,450,400,0,0,"811,1",0,0
01-01-2015,01 - 02,0,"1176,8",0,1048,0,150,700,0,0,1532,0,"80,2",0,450,400,0,0,"694,5",0,0
01-01-2015,02 - 03,0,1141,0,1029,0,150,700,0,0,1532,0,75,0,450,400,0,0,"685,9",0,0
01-01-2015,03 - 04,0,"1115,2",0,1021,0,150,700,0,0,1532,0,76,0,450,400,0,0,"678,4",0,0
01-01-2015,04 - 05,0,"1114,2",0,1026,0,150,700,0,0,1532,0,"73,2",0,450,400,0,0,"683,9","0,1",0
01-01-2015,05 - 06,0,"1158,8",0,1032,0,150,700,0,0,1532,0,"69,8",0,450,400,0,0,"721,8",0,0
01-01-2015,06 - 07,0,"1201,7",0,1105,0,150,700,0,0,1532,0,"145,9",0,450,300,0,0,"726,7",0,0
01-01-2015,07 - 08,0,"1065,1",0,"1214,7",0,250,700,0,0,1532,0,"264,7",0,450,200,0,0,"907,6",0,0
01-01-2015,08 - 09,0,"1019,2",0,"1317,3",0,250,750,0,0,1532,0,"245,6",0,450,200,0,0,"977,5",0,0
01-01-2015,09 - 10,0,"936,7",0,1444,0,250,750,0,0,1532,0,239,0,450,200,0,0,"1033,8","0,1",0
01-01-2015,10 - 11,0,"1069,4",0,1368,0,250,750,0,0,1532,0,"215,9",0,450,200,0,0,"1035,9",0,0
01-01-2015,11 - 12,0,"1123,7",0,1419,0,250,750,0,0,1532,0,"206,4",0,450,200,0,0,1027,0,0
01-01-2015,12 - 13,0,"1061,8",0,1471,0,250,750,0,0,1532,0,"195,9",0,450,200,0,0,"996,3",0,0
01-01-2015,13 - 14,0,"976,4",0,1601,0,250,750,0,0,1532,0,"200,1",0,450,200,0,0,"967,6",0,0
01-01-2015,14 - 15,0,"938,1",0,1648,0,250,750,0,0,1532,0,"209,2",0,450,200,0,0,"958,5",0,0
01-01-2015,15 - 16,0,"1428,4",0,"991,1",0,250,750,0,0,1532,0,240,0,450,200,0,0,"1163,5",0,0
01-01-2015,16 - 17,0,"2018,9","142,7",0,0,250,750,0,0,1532,0,"191,9",0,450,200,0,0,"1665,7",0,0
01-01-2015,17 - 18,0,"2074,7","309,8",0,0,250,750,0,0,1532,0,"199,2",0,450,200,0,0,1744,0,0
01-01-2015,18 - 19,0,"2060,6","180,8",0,0,250,750,0,0,1532,0,"204,2",0,450,200,0,0,"1533,3",0,0
01-01-2015,19 - 20,0,"1835,2",0,"276,3",0,250,750,0,0,1532,0,"223,1",0,450,200,0,0,"1280,8",0,0
01-01-2015,20 - 21,0,"1593,6",0,"478,8",0,250,700,0,0,1532,0,"293,1",0,450,200,0,0,"1189,9",0,0
01-01-2015,21 - 22,0,"1189,6",0,"875,4",0,250,700,0,0,1532,0,"370,7",0,450,200,0,0,"1035,7",0,0
01-01-2015,22 - 23,0,"1077,7",0,922,0,150,700,0,0,1532,0,"255,1",0,450,300,0,0,1055,0,0
01-01-2015,23 - 00,0,"1129,9",0,784,0,150,700,0,0,1532,0,"202,5",0,450,300,0,0,"955,2",0,0
02-01-2015,00 - 01,0,"1190,5",0,1055,0,150,700,0,0,1532,0,"38,8",0,450,400,0,0,"497,1",0,0
02-01-2015,01 - 02,0,"1165,5",0,962,0,150,700,0,0,1532,0,"98,2",0,450,400,0,0,"453,3",0,0
02-01-2015,02 - 03,0,"1178,1",0,884,0,150,700,0,0,1532,0,"104,5",0,450,400,0,0,"432,4",0,0
02-01-2015,03 - 04,0,"1401,6",0,872,0,150,700,0,0,1532,0,142,0,450,400,0,0,"287,4",0,0
02-01-2015,04 - 05,0,"1559,4",0,960,0,150,700,0,0,1532,0,"159,4",0,450,400,0,0,"103,5",0,"0,1"
02-01-2015,05 - 06,0,"1994,8",0,"388,8",0,150,700,0,0,1532,0,"179,1",0,450,400,0,0,"383,8",0,0
02-01-2015,06 - 07,0,"2225,1",0,"218,2",0,150,700,0,0,1532,0,"277,8",0,450,300,0,0,686,0,0
02-01-2015,07 - 08,0,"2407,4",466,0,0,250,700,0,0,1532,0,"433,7",0,450,200,0,0,"1467,3",0,0
02-01-2015,08 - 09,0,"2292,4",0,"30,8",0,250,750,0,0,1532,0,"369,5",0,450,200,0,0,"1381,8",0,0
