,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
02 - 15,"267,45","267,99","267,99","275,74","276,36","294,31","213,29","276,86","259,38","257,88","254,41","269,84","269,84","269,86","294,70","361,01","361,01",
03 - 15,"258,46","266,31","266,31","266,31","266,31","332,59","201,52","250,28","248,29","242,18","247,69","267,58","267,58","267,58","332,59","393,44","393,44",
04 - 15,"308,15","303,03","303,03","309,44","315,11","321,17","318,28","323,08","274,62","274,59","273,55","303,76","303,76","303,76","321,17","361,73","361,77",
05 - 15,"251,65","249,47","249,47","250,10","250,98","292,37","244,12","251,38","249,05","248,70","249,05","252,05","252,05","252,05","292,37","345,41","345,41",
06 - 15,"290,00","274,01","274,01","296,99","308,40","298,84","277,53","298,76","291,41","291,40","291,41","278,83","278,83","278,83","298,84","339,46","339,72",
07 - 15,"256,06","243,17","243,17","267,01","288,32","308,63","272,42","291,19","240,13","240,13","240,12","244,17","244,17","244,21","308,63","359,81","359,81",
08 - 15,"231,26","228,65","228,65","233,11","241,02","285,28","234,66","241,02","228,32","228,32","228,32","229,04","229,04","229,04","285,28","337,03","337,03",
09 - 15,"219,39","217,88","217,88","217,88","229,84","245,96","208,14","224,44","218,77","218,77","218,77","220,55","220,55","220,55","254,49","324,85","324,85",
10 - 15,"216,84","214,25","214,25","219,83","224,56","255,13","218,82","224,69","214,17","214,17","214,17","214,79","214,79","214,79","256,40","276,08","276,08",
11 - 15,"218,73","216,73","216,73","228,09","241,20","255,16","239,25","242,40","213,37","213,37","213,37","218,66","218,66","218,26","266,82","272,80","272,80",
12 - 15,"221,49","222,27","222,27","226,37","230,96","249,92","246,08","246,54","215,83","215,83","215,83","222,41","222,41","222,41","260,68","290,07","290,07",
13 - 15,"223,54","221,30","221,30","226,50","227,98","254,72","240,04","255,78","217,09","217,09","212,81","221,35","221,35","221,35","265,35","274,31","274,31",
14 - 15,"217,53","219,39","219,39","219,39","219,39","265,80","201,59","217,35","215,48","215,48","215,48","219,39","219,39","219,39","273,07","294,73","303,95",
15 - 15,"219,18","217,11","217,11","220,13","223,91","249,23","227,89","240,46","215,21","215,21","215,21","222,09","222,09","221,93","257,04","297,65","317,00",
16 - 15,"212,19","216,16","216,16","216,72","217,20","254,87","202,88","217,34","209,39","208,97","209,02","219,80","219,80","215,57","254,87","274,51","275,75",
17 - 15,"203,43","199,49","199,49","206,21","206,26","256,74","211,74","211,54","199,64","199,64","199,64","205,39","205,39","204,89","256,74","266,66","266,66",
18 - 15,"223,82","221,26","221,26","221,26","224,06","245,43","228,81","231,14","215,26","213,17","213,17","228,38","228,38","220,90","266,57","332,98","332,98",
19 - 15,"197,77","194,13","194,13","194,13","194,13","214,72","189,99","195,01","190,66","190,66","190,66","211,57","211,57","205,29","287,40","299,94","299,94",
20 - 15,"170,24","169,11","169,11","172,66","172,66","188,70","166,93","173,02","162,92","162,92","162,92","194,94","194,94","184,99","292,41","302,97","302,97",
21 - 15,"203,21","208,01","208,01","209,58","211,50","235,19","207,79","217,03","194,46","194,46","194,46","206,03","206,03","191,26","273,67","342,94","342,94",
22 - 15,"173,33","176,25","176,25","176,25","204,25","239,41","173,02","204,25","168,05","168,05","168,05","176,43","176,43","171,60","242,75","338,53","338,53",
23 - 15,"131,90","131,54","131,54","132,35","155,49","194,56","137,51","170,63","129,49","129,49","129,49","131,79","131,79","124,32","214,73","404,12","404,12",
24 - 15,"129,35","130,94","130,94","130,94","218,00","141,79","181,13","219,70","122,90","122,90","122,90","128,41","128,41","120,78","248,95","374,99","374,99",
25 - 15,"105,06","101,08","101,08","112,00","143,76","141,11","134,20","149,73","101,84","101,84","101,84","101,52","101,52","100,95","215,75","345,41","345,41",
26 - 15,"132,95","149,84","149,84","154,09","185,42","247,18","191,31","193,66","116,79","116,79","116,79","144,24","144,24","115,21","261,15","357,91","357,91",
27 - 15,"117,65","118,65","118,65","118,65","132,27","210,52","222,96","222,96","108,57","108,62","108,57","118,61","118,61","112,07","218,91","408,18","408,18",
28 - 15,"77,71","72,29","72,29","72,29","72,29","268,21","110,61","110,61","72,29","72,29","72,29","72,52","72,52","70,51","271,56","361,74","361,74",
29 - 15,"92,67","87,79","87,79","87,79","87,79","273,49","132,58","135,97","87,79","87,79","87,79","87,48","87,48","78,63","281,34","389,68","389,68",
30 - 15,"77,99","72,68","72,68","72,68","72,68","250,39","91,07","93,36","72,26","72,26","72,26","73,33","73,33","73,33","250,39","417,12","417,12",
31 - 15,"71,58","67,69","67,69","67,69","67,69","187,14","89,34","89,34","68,11","73,16","68,11","67,69","67,69","67,66","187,14","398,93","398,93",
32 - 15,"74,72","67,64","67,64","100,57","100,57","231,48","144,90","176,78","71,77","80,01","67,04","67,24","67,24","67,24","234,48","412,06","412,06",
33 - 15,"103,06","91,85","91,85","137,01","137,01","297,39","261,03","306,29","92,77","98,65","86,37","87,84","87,84","81,56","297,39","472,23","472,23",
34 - 15,"154,54","183,24","183,24","196,39","196,39","336,45","196,76","198,89","131,56","131,56","131,31","168,59","168,59","122,07","336,45","419,75","419,75",
35 - 15,"157,96","187,76","187,76","187,76","187,76","330,36","211,68","213,58","119,57","119,57","118,05","186,41","186,41","163,09","330,36","417,55","417,55",
36 - 15,"151,24","234,36","234,36","234,36","249,30","300,57","181,01","253,09","97,05","97,05","97,05","197,80","197,80","182,12","298,49","391,07","391,07",
37 - 15,"183,37","219,03","224,76","225,68","253,75","299,69","229,57","257,66","129,56","129,56","129,56","211,36","211,36","202,99","299,69","387,63","387,63",
38 - 15,"157,96","175,19","175,19","177,29","177,29","282,61","154,93","179,82","120,04","120,04","120,04","184,89","184,89","179,55","282,61","401,83","401,83",
39 - 15,"159,41","167,20","167,20","167,20","167,20","290,38","206,87","238,28","128,16","128,16","128,16","178,58","178,58","178,27","290,38","449,87","449,87",
40 - 15,"137,16","137,04","137,04","137,54","137,54","269,71","239,21","248,66","124,50","124,50","124,50","137,17","137,17","136,75","293,21","403,96","403,96",
41 - 15,"169,75","162,84","162,84","170,77","179,39","403,19","201,91","201,97","161,64","161,64","161,64","163,84","163,84","162,22","403,19","602,08","602,08",
42 - 15,"215,67","214,01","214,01","223,12","225,84","277,96","224,09","225,93","215,11","215,11","215,11","214,01","214,01","205,55","278,28","675,93","675,93",
43 - 15,"238,45","254,91","254,91","255,88","277,73","288,08","266,80","278,61","229,38","229,38","229,38","252,44","252,44","206,50","307,70","474,67","474,67",
44 - 15,"248,26","252,27","252,27","285,89","298,69","319,36","297,95","302,04","239,84","239,84","239,84","249,51","249,51","226,29","346,31","410,40","410,40",
45 - 15,"232,38","230,97","230,97","233,71","246,91","304,12","248,76","251,45","231,02","231,02","231,02","227,22","227,22","214,17","340,81","432,00","432,00",
46 - 15,"213,81","213,17","213,17","213,17","213,17","284,62","211,33","212,01","213,62","213,62","213,62","213,37","213,37","196,35","284,62","421,38","421,38",
47 - 15,"230,83","229,60","229,60","230,24","230,24","286,31","226,77","226,95","229,68","228,53","228,53","229,55","229,55","215,98","286,31","426,80","428,62",
48 - 15,"248,68","221,60","221,60","284,25","284,71","313,54","255,23","284,71","250,57","237,89","237,89","215,34","215,34","210,72","313,54","429,89","431,47",
49 - 15,"191,88","187,94","187,94","192,42","192,42","254,19","182,40","187,70","189,29","188,05","188,05","202,50","202,50","191,88","254,19","365,11","365,11",
50 - 15,"193,20","191,90","191,90","198,69","200,07","282,54","195,40","200,07","192,58","192,58","192,58","197,11","197,11","185,64","282,54","380,37","380,37",
51 - 15,"225,30","210,27","210,27","254,34","254,40","286,49","251,93","254,40","190,53","188,70","184,45","205,30","205,30","169,88","286,49","406,11","406,20",
52 - 15,"113,49","115,68","115,68","115,68","115,68","149,66","101,11","112,43","112,87","108,97","112,87","117,04","117,04","117,08","156,55","297,34","297,34",
53 - 15,"161,70","157,57","157,57","157,61","158,93","259,86","143,15","158,93","156,47","152,51","156,45","156,50","156,50","156,50","259,86","345,26","345,26",
