date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
01 - 18,"292,60","305,93","305,93","305,93","316,18","306,04","283,64","307,79","302,55","278,26","278,79","283,48","283,48","267,11","305,00","303,52","307,45"
02 - 17,"271,17","274,36","274,36","274,45","287,79","284,01","264,20","282,29","276,74","271,48","269,13","266,27","266,27","235,70","284,01","296,58","298,45"
03 - 17,"283,09","292,68","292,68","298,07","318,50","311,28","298,02","318,52","284,85","274,67","266,91","276,14","276,14","221,09","311,28","338,96","381,54"
04 - 17,"266,21","271,35","271,35","273,56","301,62","303,01","274,08","302,05","267,74","267,01","263,11","262,75","262,75","217,60","303,01","330,92","352,05"
05 - 17,"280,12","288,59","288,59","289,80","320,57","310,03","285,88","320,57","278,57","277,86","273,86","282,40","282,40","223,25","310,03","323,70","323,70"
06 - 17,"320,06","345,22","345,22","345,22","348,50","359,56","306,63","348,50","299,36","293,82","289,30","335,26","335,26","303,95","361,74","362,85","362,85"
07 - 17,"284,00","291,46","291,46","292,60","307,35","302,91","284,81","304,44","282,61","282,61","281,54","290,69","290,69","220,92","302,91","336,08","338,40"
08 - 17,"263,60","257,07","257,07","257,08","257,08","277,95","201,12","213,43","269,08","269,08","269,08","258,09","258,09","236,39","277,95","278,09","282,59"
09 - 17,"271,22","267,31","267,31","267,31","268,04","278,16","240,98","250,50","275,36","275,02","275,02","267,41","267,41","222,68","278,16","279,10","279,01"
10 - 17,"294,15","299,71","299,71","299,71","300,33","305,60","296,48","297,67","299,45","298,98","298,98","300,25","300,25","220,97","305,28","304,26","317,55"
11 - 17,"266,71","253,43","253,43","253,43","259,93","253,56","232,38","240,74","275,67","275,67","275,67","273,68","273,68","216,91","253,17","253,17","264,60"
12 - 17,"268,92","265,93","265,93","265,93","265,93","265,93","263,13","263,89","276,23","276,23","276,25","275,23","275,23","220,16","265,93","265,93","265,93"
13 - 17,"268,99","282,23","282,23","282,23","282,23","282,69","283,27","285,08","267,71","266,38","266,43","283,62","283,62","225,72","282,56","282,56","282,56"
14 - 17,"256,83","260,78","260,78","260,78","275,27","274,13","237,31","280,44","257,72","257,72","257,72","262,14","262,14","223,25","274,13","282,61","282,61"
15 - 17,"247,97","242,98","242,98","242,98","242,98","260,46","238,11","240,36","252,93","252,93","252,93","248,40","248,40","222,11","260,46","260,46","260,46"
16 - 17,"267,53","246,98","246,98","246,98","248,67","285,78","217,87","230,41","278,98","278,68","278,99","276,14","276,14","221,81","285,78","286,76","287,08"
17 - 17,"309,03","316,25","316,25","316,25","316,61","346,43","308,64","312,28","315,93","298,45","316,12","315,55","315,55","226,38","337,39","337,39","337,39"
18 - 17,"277,94","276,82","276,82","276,82","276,82","276,83","250,67","252,09","283,31","283,09","283,58","281,87","281,87","241,27","276,21","276,21","276,21"
19 - 17,"301,79","304,95","304,95","304,95","304,95","307,18","305,98","308,23","297,79","296,48","297,18","305,59","305,59","270,39","307,03","312,43","312,43"
20 - 17,"252,16","263,85","263,85","263,85","265,21","275,01","263,69","268,86","248,20","248,20","247,57","258,90","258,90","230,21","275,01","289,59","289,59"
21 - 17,"239,49","252,92","252,92","253,91","257,06","278,23","265,41","269,86","232,83","232,83","232,00","251,58","251,58","228,49","278,23","330,46","330,46"
22 - 17,"259,41","292,47","292,47","292,47","292,98","300,08","298,88","302,96","245,79","245,90","244,53","292,47","292,47","232,80","300,08","329,89","329,89"
23 - 17,"223,78","232,64","232,64","232,64","232,64","316,19","239,98","245,31","213,38","213,38","213,10","225,78","225,78","215,74","316,78","459,62","459,62"
24 - 17,"228,99","242,58","242,58","242,58","250,34","284,18","251,58","262,68","218,60","218,70","218,08","238,44","238,44","215,50","284,18","384,09","384,09"
25 - 17,"234,75","251,55","251,55","251,55","279,82","266,94","272,71","287,47","225,73","225,73","221,50","226,51","226,51","221,15","266,94","304,00","304,00"
26 - 17,"232,19","282,54","282,54","282,54","285,86","290,05","279,71","286,41","222,00","222,00","221,52","219,07","219,07","217,72","290,05","298,58","298,58"
27 - 17,"256,44","321,98","321,98","321,98","322,04","382,50","316,73","323,56","245,75","245,75","244,38","229,38","229,38","215,77","382,50","407,03","407,03"
28 - 17,"255,57","316,09","316,09","316,09","316,09","330,73","323,25","323,69","252,68","252,68","252,68","234,32","234,32","173,86","330,73","339,18","339,18"
29 - 17,"245,70","273,51","273,51","273,51","275,41","284,06","294,62","295,11","248,82","248,82","248,82","238,99","238,99","162,93","284,06","286,51","286,51"
30 - 17,"241,86","262,92","262,92","269,18","269,18","311,00","278,91","283,15","244,26","244,26","244,26","241,96","241,96","177,27","317,63","352,53","352,53"
