Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5,NO3 > NO5,NO5 > NO3
01-01-2018,00 - 01,0,2917,0,"436,6",0,250,1000,0,0,1532,0,"96,8",0,"58,6",50,0,0,0,0,"187,7",0,300
01-01-2018,01 - 02,0,"2806,5",0,"451,3",0,"208,1",1000,0,0,1532,0,"80,9",0,38,50,0,0,0,0,"150,4",0,300
01-01-2018,02 - 03,0,"2140,4",0,1047,0,"188,9",1000,0,0,1532,0,"76,2",0,"72,7",50,0,0,0,0,"189,1",0,"299,9"
01-01-2018,03 - 04,0,"1827,3",0,"1305,7",0,250,1000,0,0,1532,0,"121,5",0,206,50,0,0,0,0,395,0,300
01-01-2018,04 - 05,0,"1725,4",0,1400,0,250,1000,0,0,1532,0,"362,6",0,"430,6",50,0,0,0,0,"121,1",0,"32,5"
01-01-2018,05 - 06,0,"1792,2",0,1363,0,250,1000,0,0,1532,0,"385,9",0,450,50,0,0,0,0,"96,2",0,0
01-01-2018,06 - 07,0,1846,0,1344,0,250,1000,0,0,1532,0,"368,8",0,450,50,0,0,"23,5",0,0,0,"40,7"
01-01-2018,07 - 08,0,"1648,5",0,1358,0,250,1000,0,0,1532,0,"410,9",0,450,50,0,0,"310,9",0,0,0,0
01-01-2018,08 - 09,0,1895,0,1367,0,250,1000,0,0,1532,0,"362,3",0,450,50,0,0,"174,9",0,0,0,"36,9"
01-01-2018,09 - 10,0,"2044,8",0,1400,0,250,1000,0,0,1532,0,"321,5",0,450,50,0,0,"116,1",0,0,0,"78,5"
01-01-2018,10 - 11,0,"1948,7",0,1457,0,250,1000,0,0,1532,0,"405,6",0,450,50,0,0,"295,5",0,"0,1",0,"27,8"
01-01-2018,11 - 12,0,"2031,8",0,1450,0,250,1000,0,0,1532,0,"378,6",0,450,50,0,0,"315,4",0,0,0,"27,3"
01-01-2018,12 - 13,0,"2106,1",0,1387,0,250,1000,0,0,1532,0,"362,5",0,450,50,0,0,"320,8",0,0,0,"40,2"
01-01-2018,13 - 14,0,"2183,9",0,1363,0,250,1000,0,0,1532,0,"339,9",0,450,50,0,0,"296,8",0,0,0,"76,8"
01-01-2018,14 - 15,0,"2254,1",0,1394,0,250,1000,0,0,1532,0,"314,6",0,450,50,0,0,"212,9",0,0,0,"147,6"
01-01-2018,15 - 16,0,"2882,7",0,"910,8",0,250,1000,0,0,1532,0,"169,7",0,"275,3",50,0,0,"87,5",0,"0,1",0,300
01-01-2018,16 - 17,0,"3065,7",0,"421,4",0,250,1000,0,0,1532,0,342,0,"96,3",50,0,0,"455,1",0,0,0,"127,9"
01-01-2018,17 - 18,0,3080,0,0,0,0,"854,8",0,0,"1414,7",0,"318,8",0,"168,3",50,0,0,"817,2",0,0,0,0
01-01-2018,18 - 19,0,3100,0,"40,7",0,"81,6",1000,0,0,"1501,9",0,349,0,"136,7",50,0,0,"722,9",0,0,0,0
01-01-2018,19 - 20,0,"3021,2",0,"369,5",0,250,1000,0,0,1532,0,"357,7",0,"73,2",50,0,0,"430,4",0,0,0,"62,2"
01-01-2018,20 - 21,0,"2922,6",0,"708,5",0,250,1000,0,0,1532,0,"150,8",0,"76,9",50,0,0,"100,2",0,0,0,300
01-01-2018,21 - 22,0,"2776,3",0,779,0,250,1000,0,0,1532,0,191,0,"246,7",50,0,0,"39,5",0,0,0,300
01-01-2018,22 - 23,0,2392,0,"1028,3",0,250,"999,9",0,0,1532,0,"281,8",0,450,50,0,0,0,0,"14,7",0,"265,7"
01-01-2018,23 - 00,0,2207,0,1114,0,250,1000,0,0,1532,0,"238,9",0,450,50,0,0,0,0,"185,2",0,300
02-01-2018,00 - 01,0,"2556,6",0,891,0,250,1000,0,0,1532,0,"384,1",0,450,50,0,0,"22,1",0,0,0,"20,6"
02-01-2018,01 - 02,0,"2419,1",0,929,0,250,1000,0,0,1532,0,"296,2",0,450,50,0,0,0,0,"52,4",0,"72,5"
02-01-2018,02 - 03,0,"2232,8",0,934,0,250,1000,0,0,1532,0,"332,3",0,450,50,0,0,"91,8",0,0,0,0
02-01-2018,03 - 04,0,"2241,5",0,999,0,250,1000,0,0,1532,0,"321,3",0,450,50,0,0,"39,1",0,0,0,0
02-01-2018,04 - 05,0,"2066,6",0,1136,0,"116,5",1000,0,0,"1082,7",0,"227,4",0,450,50,0,0,"129,4",0,0,0,"83,9"
02-01-2018,05 - 06,0,"2740,6",0,"482,5",0,"178,5",1000,0,0,"482,7",0,"109,7",0,0,50,0,0,"339,8",0,0,0,"163,8"
02-01-2018,06 - 07,0,"2986,6","1,3",0,0,"0,1","248,6",0,"117,3",0,0,"430,9",0,"50,3",0,0,0,"993,6",0,0,0,300
02-01-2018,07 - 08,0,"2768,2",1288,0,200,0,0,"221,6","717,3",0,0,"899,1","254,7",0,0,0,0,"2686,2",0,0,0,0
02-01-2018,08 - 09,0,"1969,7",949,0,200,0,0,"367,8","1317,3",0,0,"944,3","303,7",0,0,0,0,"3250,2",0,0,0,0
02-01-2018,09 - 10,0,"1756,7","897,5",0,200,0,0,"489,7",1532,0,0,950,"368,2",0,0,0,0,3403,0,0,0,0
02-01-2018,10 - 11,0,"1788,7","1015,4",0,200,0,0,517,1532,0,0,"935,1","403,3",0,0,0,0,"3494,6",0,0,0,0
02-01-2018,11 - 12,0,"1808,8","1056,4",0,200,0,0,"523,9",1532,0,0,"938,9","407,4",0,0,0,0,"3496,7",0,0,0,"0,1"
02-01-2018,12 - 13,0,"1828,1","1372,7",0,200,0,0,520,1532,0,0,"920,3",412,0,0,0,0,"3779,9",0,0,0,0
02-01-2018,13 - 14,0,"1841,8","1428,8",0,200,0,0,"514,2",1532,0,0,"904,1","414,6",0,0,0,0,"3799,6",0,0,0,0
02-01-2018,14 - 15,0,"1881,5","1509,5",0,200,0,0,"527,1",1532,0,0,"915,9","408,7",0,0,0,0,"3844,9",0,0,0,0
02-01-2018,15 - 16,0,"1803,2","1338,6",0,"199,9",0,0,"547,8",1532,0,0,950,"420,3",0,0,0,0,"3875,7",0,0,0,0
02-01-2018,16 - 17,0,"1633,1",1064,0,200,0,0,539,1532,0,0,950,"442,6",0,0,0,0,"3865,5",0,0,0,0
02-01-2018,17 - 18,0,"1668,1","1117,3",0,200,0,0,"582,7",1532,0,0,950,"464,3",0,0,0,0,"3863,4",0,0,0,0
02-01-2018,18 - 19,0,"1738,8",1296,0,200,0,0,"595,6",1532,0,0,950,"469,9",0,0,0,0,"3892,4",0,0,0,0
02-01-2018,19 - 20,0,2079,1570,0,200,0,0,"546,1","1340,1",0,0,950,"413,9",0,0,0,0,"3751,3",0,0,0,0
02-01-2018,20 - 21,0,"2520,9",1570,0,200,0,0,"288,3","948,7",0,0,"913,4","258,1",0,0,0,0,"3308,6",0,0,0,"34,6"
02-01-2018,21 - 22,0,3100,"603,5",0,"195,5",0,"0,1",0,"348,7",0,0,950,0,0,0,0,0,1850,0,"105,6",0,"39,6"
02-01-2018,22 - 23,0,3100,157,0,"0,1",0,"126,9",0,0,"251,3",0,"677,6",0,0,50,0,0,"1273,5",0,"189,8",0,300
02-01-2018,23 - 00,0,3100,"223,3",0,0,0,"383,3",0,0,"851,3",0,"445,8",0,"27,9",50,0,0,"1087,9",0,"174,6",0,300
03-01-2018,00 - 01,0,3100,"945,1",0,0,0,"615,2",0,0,"1451,3",0,"334,6",0,0,50,0,0,"1243,7",0,400,0,300
03-01-2018,01 - 02,0,3100,"632,4",0,0,0,"876,1",0,0,1532,0,"91,7",0,"0,1",50,0,0,"822,6",0,"372,2",0,300
03-01-2018,02 - 03,0,3100,"583,1",0,0,0,"968,1",0,0,1532,0,0,0,"77,8",50,0,0,707,0,400,0,300
03-01-2018,03 - 04,0,3100,"587,3",0,0,"67,6","958,7",0,0,1532,0,0,0,"17,7",50,0,0,"696,1",0,400,0,300
03-01-2018,04 - 05,0,3100,"710,6",0,0,"19,1","968,8",0,0,1532,0,0,0,0,50,0,0,"872,9",0,400,0,300
03-01-2018,05 - 06,0,3100,"1255,5",0,0,0,"413,5",0,0,1532,0,366,0,"0,1",50,0,0,"1562,1",0,400,0,300
03-01-2018,06 - 07,0,3100,"923,2",0,0,0,"0,1",0,0,1532,0,"619,5","247,9",0,0,0,0,"1715,2",0,400,0,300
03-01-2018,07 - 08,0,3100,1186,0,200,0,0,0,0,"1254,5",0,"853,1","132,7",0,0,0,0,"2391,1",0,400,0,"67,9"
03-01-2018,08 - 09,0,3100,"1314,4",0,200,0,0,0,0,1086,0,"884,6","69,5",0,0,0,0,"2560,9",0,400,0,"93,9"
03-01-2018,09 - 10,0,3100,"1261,2",0,200,0,0,0,0,"969,8",0,"898,2",61,0,0,0,0,"2533,3",0,400,0,"163,8"
03-01-2018,10 - 11,0,3100,"1424,3",0,200,0,0,0,0,"776,8",0,950,"20,9",0,0,0,0,"2691,2",0,400,0,"96,2"
03-01-2018,11 - 12,0,3100,"1302,4",0,"199,9",0,0,0,0,"388,7",0,871,"90,2",0,0,0,0,"2511,5",0,400,0,"184,2"
03-01-2018,12 - 13,0,3100,"1228,1",0,200,0,0,"0,1",0,"67,8",0,"846,7","108,7",0,0,0,0,"2382,8",0,"304,6",0,"219,4"
03-01-2018,13 - 14,0,3100,"1339,7",0,200,0,0,0,"229,7",0,0,"942,3","17,4",0,0,0,0,"2432,8",0,"32,4",0,"79,9"
03-01-2018,14 - 15,0,"3082,5","1619,9",0,200,0,0,0,"311,5",0,0,"870,9","157,1",0,0,0,0,"2608,5",0,0,0,0
03-01-2018,15 - 16,0,2928,1570,0,200,0,0,"231,3",473,0,0,"738,1","335,6",0,0,0,0,"2697,6",0,0,0,"292,5"
03-01-2018,16 - 17,0,"2650,2",1520,0,200,0,0,394,"560,1",0,0,"828,8","353,4",0,0,0,0,2955,0,0,0,300
03-01-2018,17 - 18,0,"2503,5",1570,0,200,0,0,487,"727,6",0,0,"854,9",384,0,0,0,0,3079,0,0,0,300
03-01-2018,18 - 19,0,"2616,4",1620,0,200,0,0,"414,3","654,9",0,0,"820,5","409,1",0,0,0,0,"2922,6",0,0,0,"273,3"
03-01-2018,19 - 20,0,2803,1670,0,200,0,0,"115,2","553,7",0,0,"824,9","346,8",0,0,0,0,"2710,8",0,0,0,"69,3"
03-01-2018,20 - 21,0,"3078,8",1720,0,200,0,0,"0,1","147,1",0,0,950,"72,2",0,0,0,0,"2440,4",0,"0,1",0,"22,7"
03-01-2018,21 - 22,0,3100,"1295,5",0,200,0,"0,1",0,"21,3",0,0,"746,9",231,0,0,0,0,"1908,2",0,"106,5",0,272
03-01-2018,22 - 23,0,3100,1061,0,0,0,0,0,0,"297,8",0,"770,4","3,6",0,50,0,0,"1601,1",0,"67,5",0,300
03-01-2018,23 - 00,0,"2843,5","572,7",0,0,0,"784,7",0,0,"458,2",0,"299,6",0,0,50,0,0,1183,0,0,0,300
04-01-2018,00 - 01,0,"2201,9",0,"191,4",0,0,938,0,0,"1047,5",0,"316,6",0,0,150,0,0,"823,7",0,0,0,0
04-01-2018,01 - 02,0,"2023,4",0,"518,9",0,"21,3",1000,0,0,1194,0,"215,4",0,0,150,0,0,"537,1",0,0,0,60
04-01-2018,02 - 03,0,"1760,5",0,"795,4",0,"193,1",1000,0,0,"1301,2",0,"190,9",0,0,150,0,0,455,0,0,0,"97,3"
04-01-2018,03 - 04,0,1790,0,712,0,"181,5",1000,0,0,"1326,4",0,"200,5",0,0,150,0,0,"485,4",0,0,0,"77,3"
04-01-2018,04 - 05,0,"1611,7",0,"710,6",0,"125,9",1000,0,0,"1027,5",0,"197,3",0,0,150,0,0,"720,4",0,0,0,71
04-01-2018,05 - 06,0,"2056,2",0,"168,5",0,0,"890,2",0,0,"427,5",0,"333,8",0,0,150,0,0,"960,4",0,0,0,"0,1"
04-01-2018,06 - 07,0,"2436,8",0,0,0,0,0,0,0,0,0,"735,9","115,7",0,0,0,0,"1077,1",0,0,0,"284,6"
04-01-2018,07 - 08,0,"2409,1","1205,5",0,200,0,0,"134,6","342,5",0,0,"920,7",301,0,0,0,0,"2554,2",0,0,0,0
04-01-2018,08 - 09,0,"1748,3","1381,7",0,200,0,0,"242,6","942,5",0,0,950,"346,1",0,0,0,0,"3463,7",0,0,0,0
04-01-2018,09 - 10,0,"1195,1","967,4",0,200,0,0,"343,1",1532,0,0,950,"399,4",0,0,0,0,"3616,8",0,0,0,0
04-01-2018,10 - 11,0,"1210,8","1007,8",0,200,0,0,"335,8",1532,0,0,950,"417,3",0,0,0,0,3684,0,0,0,0
04-01-2018,11 - 12,0,"1326,8","1146,6",0,200,0,0,"338,6",1532,0,0,950,"423,3",0,0,0,0,"3674,2",0,0,0,0
04-01-2018,12 - 13,0,1369,"1217,9",0,200,0,0,"358,3",1532,0,0,950,442,0,0,0,0,3686,0,0,0,0
04-01-2018,13 - 14,0,"1356,3","1240,6",0,200,0,0,"370,2",1532,0,0,950,435,0,0,0,0,"3704,9",0,0,0,0
04-01-2018,14 - 15,0,"1353,2","1258,3",0,200,0,0,376,1532,0,0,950,"437,9",0,0,0,0,"3731,9",0,0,0,0
04-01-2018,15 - 16,0,"1310,8","1231,3",0,200,0,0,"362,1",1532,0,0,950,"449,8",0,0,0,0,"3779,3",0,0,0,0
04-01-2018,16 - 17,0,"1159,1","1042,3",0,200,0,0,"445,9",1532,0,0,950,"473,4",0,0,0,0,3760,0,0,0,0
04-01-2018,17 - 18,0,"1207,2","1120,8",0,200,0,0,"475,3",1532,0,0,950,494,0,0,0,0,"3755,1",0,0,0,0
04-01-2018,18 - 19,0,"1259,8","1253,1",0,200,0,0,"491,7",1532,0,0,950,"496,4",0,0,0,0,"3726,4",0,0,0,0
04-01-2018,19 - 20,0,"1372,1","1163,9",0,200,0,0,"338,9",1532,0,0,950,"512,9",0,0,0,0,"3405,8",0,0,0,0
04-01-2018,20 - 21,0,"1131,5","568,3",0,200,0,0,260,1532,0,0,950,"474,6",0,0,0,0,"2986,1",0,0,0,0
04-01-2018,21 - 22,0,"1186,9","369,6",0,200,0,0,"265,1",1532,0,0,950,470,0,0,0,0,"2606,5",0,0,0,0
04-01-2018,22 - 23,0,933,0,"127,3",200,0,0,"342,2",1532,0,0,950,"416,4",0,100,0,0,"2250,7",0,0,0,0
04-01-2018,23 - 00,0,"1112,4",0,"637,9","140,1",0,0,0,"1043,2",0,0,"860,6",0,0,100,0,0,"1608,4",0,0,0,0
05-01-2018,00 - 01,0,"701,1",0,1320,0,"0,1","755,1",0,"443,2",0,0,"551,1",0,"270,9",150,0,0,"1155,6",0,0,0,0
05-01-2018,01 - 02,0,1149,0,1320,0,"85,1",1000,0,0,"156,8",0,"464,8",0,"365,7",150,0,0,"595,8",0,0,0,0
05-01-2018,02 - 03,0,1301,0,1325,0,"115,2",1000,0,0,"654,9",0,"513,5",0,"384,2",150,0,0,"467,8",0,0,0,0
05-01-2018,03 - 04,0,"1253,3",0,1294,0,"155,8",1000,0,0,"623,8",0,"553,3",0,"384,6",100,0,0,"472,6",0,0,0,0
