Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5,NO3 > NO5,NO5 > NO3,NO2 > NL,NL > NO2
01-01-2019,00 - 01,0,"1449,6",0,689,0,250,1000,0,0,1532,0,"200,6",0,600,0,50,0,"787,5",0,0,200,0,"85,6",0
01-01-2019,01 - 02,0,"1197,6",0,680,0,250,1000,0,0,1532,0,"221,2",0,600,0,50,0,947,0,0,200,0,"704,6",0
01-01-2019,02 - 03,0,"1130,4",0,706,0,250,1000,0,0,1532,0,"277,3",0,600,0,50,0,"914,4",0,0,200,0,723,0
01-01-2019,03 - 04,0,"1249,5",0,722,0,250,1000,0,0,1532,0,"304,1",0,600,0,50,0,"749,9",0,0,200,0,"340,7",0
01-01-2019,04 - 05,0,"1376,5",0,757,0,250,1000,0,0,1532,0,"321,7",0,600,0,50,0,"608,6","0,1",0,200,0,0,0
01-01-2019,05 - 06,0,"1410,8",0,829,0,250,1000,0,0,1532,0,"305,7",0,600,0,50,0,"602,1",0,0,200,0,0,0
01-01-2019,06 - 07,0,"1307,2",0,897,0,250,1000,0,0,1532,0,"296,4",0,600,0,100,0,"776,2",0,0,200,0,"112,6",0
01-01-2019,07 - 08,0,"1056,1",0,982,0,250,1000,0,0,1532,0,"239,6",0,600,0,100,0,"1063,8",0,0,200,0,"627,1",0
01-01-2019,08 - 09,0,"1287,6",0,1074,0,250,1000,0,0,1532,0,"250,6",0,600,0,150,0,"825,7",0,0,200,0,"8,1",0
01-01-2019,09 - 10,0,"1192,2",0,1199,0,250,1000,0,0,1532,0,"210,8",0,600,0,150,0,"925,1",0,0,200,0,"290,8",0
01-01-2019,10 - 11,0,"1124,9",0,1078,0,250,1000,0,0,1532,0,"226,8",0,600,0,150,0,"1227,2",0,0,200,0,723,0
01-01-2019,11 - 12,0,"1078,8",0,1112,0,250,1000,0,0,1532,0,"211,7",0,600,0,150,0,"1295,7",0,0,200,0,723,0
01-01-2019,12 - 13,0,"1029,3",0,1255,0,250,1000,0,0,1532,0,"197,1",0,600,0,150,0,1206,0,0,200,0,723,0
01-01-2019,13 - 14,0,1063,0,1257,0,250,1000,0,0,1532,0,"176,6",0,600,0,150,0,"1166,3",0,0,200,0,"559,7",0
01-01-2019,14 - 15,0,"1202,7",0,1260,0,250,1000,0,0,1532,0,"163,4",0,600,0,150,0,"1025,8",0,0,200,0,"183,1",0
01-01-2019,15 - 16,0,"1196,3",0,1327,0,250,1000,0,0,1532,0,158,0,600,0,150,0,"1032,8",0,0,200,0,"170,6",0
01-01-2019,16 - 17,0,903,0,1344,0,250,1000,0,0,1532,0,"179,3",0,600,0,150,0,"1335,7",0,0,200,0,"466,9",0
01-01-2019,17 - 18,0,"881,6",0,1345,0,250,1000,0,0,1532,0,"176,2",0,600,0,150,0,"1334,2",0,0,200,0,723,0
01-01-2019,18 - 19,0,1131,0,1188,0,250,1000,0,0,1532,0,"185,7",0,600,0,150,0,"1197,5",0,0,200,0,"155,8",0
01-01-2019,19 - 20,0,"1394,9",0,1046,0,250,1000,0,0,1532,0,"188,8",0,600,0,100,0,"1074,2",0,0,200,0,0,"89,6"
