date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
01 - 19,"487,68","448,62","448,62","456,30","458,17","463,72","384,41","386,74","509,18","509,18","504,59","495,81","495,81","495,81","463,82","464,96","460,02"
02 - 19,"492,65","483,08","483,08","498,77","511,90","516,57","436,58","466,39","504,10","504,05","504,10","484,42","484,42","484,42","516,57","549,39","549,52",,,,,
03 - 19,"518,41","505,58","505,58","515,85","517,00","533,32","496,54","501,99","528,59","527,62","528,43","515,24","515,24","502,61","532,72","533,67","533,67",,,,,
04 - 19,"585,59","625,12","625,12","626,91","631,13","631,53","613,54","622,91","622,93","622,29","622,53","536,63","536,63","507,53","631,53","633,95","633,78",,,,,
05 - 19,"529,69","535,95","535,95","538,05","542,59","556,24","527,73","541,62","538,50","529,77","531,57","522,92","522,92","511,74","556,08","556,08","555,72",,,,,
06 - 19,"486,83","484,46","484,46","486,85","486,90","501,67","384,71","405,26","491,95","489,07","489,97","485,09","485,09","485,09","501,57","501,57","492,69",,,,,
07 - 19,"438,42","429,51","429,51","433,73","441,91","447,25","414,65","429,85","443,63","443,63","443,63","430,15","430,15","430,15","452,45","452,45","449,32",,,,,
08 - 19,"415,12","406,66","406,66","411,38","416,81","420,66","416,34","421,18","420,63","420,63","420,63","410,04","410,04","410,04","425,54","425,54","425,39",,,,,
09 - 19,"407,92","399,06","399,06","403,74","411,40","415,05","379,68","409,56","415,11","415,11","415,11","399,21","399,21","399,10","425,58","425,58","425,44",,,,,
10 - 19,"416,83","405,12","405,12","405,12","405,12","417,41","278,99","303,54","428,29","428,29","428,29","426,25","426,25","426,25","417,67","417,67","414,37",,,,,
11 - 19,"409,52","404,61","404,61","404,61","404,61","408,78","309,68","330,05","417,74","417,22","417,74","416,36","416,36","416,36","408,78","407,46","407,46",,,,,
12 - 19,"388,68","375,89","375,89","376,09","376,13","378,85","368,56","375,46","397,75","397,75","397,75","389,37","389,37","389,37","378,89","378,89","378,89",,,,,
13 - 19,"366,76","333,98","333,98","333,98","338,66","335,40","346,00","353,79","384,95","384,95","384,95","364,53","364,53","364,53","338,75","338,75","338,75",,,,,
14 - 19,"380,20","370,50","370,50","370,79","372,15","377,36","378,23","386,09","385,64","383,68","385,64","379,03","379,03","379,03","383,95","384,10","384,10",,,,,
15 - 19,"424,33","421,09","421,09","421,09","421,74","430,70","414,15","416,92","424,30","424,30","424,30","425,90","425,90","423,48","431,17","431,43","431,43",,,,,
16 - 19,"414,03","410,37","410,37","410,37","410,93","431,77","403,90","408,54","415,28","415,28","415,28","414,79","414,79","414,49","431,77","443,10","443,10",,,,,
