Date,Hours,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5,NO3 > NO5,NO5 > NO3,NO2 > NL,NL > NO2,NO2 > NL,NL > NO2,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5,NO3 > NO5,NO5 > NO3
01-01-2020,00 - 01,0,0,0,1123,150,0,0,"368,1",298,0,0,"357,3",650,0,200,0,0,"1451,7","61,3",0,0,150,433,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,01 - 02,0,0,0,1095,150,0,0,"248,6","256,3",0,0,"305,7",650,0,200,0,0,"1377,2","56,2",0,0,150,433,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,02 - 03,0,"154,7",0,968,150,0,0,"31,2","10,9",0,0,"199,4",650,0,200,0,0,"1272,4",0,0,0,150,433,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,03 - 04,0,"480,7",0,870,0,0,0,0,0,275,0,"264,6","523,3",0,200,0,0,"988,2",0,0,0,150,"302,2",0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,04 - 05,0,"704,5",0,935,"0,1",0,0,0,0,"628,4",0,"276,6","517,5",0,200,0,0,"712,6",0,0,0,150,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,05 - 06,0,"779,8",0,968,0,0,"275,8",0,0,"1228,4",0,"201,7","0,1",0,200,0,0,"695,7",0,0,0,150,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,06 - 07,0,1020,0,935,0,"165,2","597,9",0,0,"1380,2",0,0,0,0,200,0,0,"658,2",0,0,0,150,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,07 - 08,0,"856,2",0,964,0,250,"930,9",0,0,"1225,8",0,0,0,"45,2",200,0,0,946,0,0,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,08 - 09,0,"591,7",0,1145,0,"236,8",1000,0,0,"625,8",0,"57,1",0,0,100,0,0,"1032,1",0,0,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,09 - 10,0,"761,1",0,1125,0,226,1000,0,0,"862,7",0,"165,7",0,0,0,0,0,937,0,0,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,10 - 11,0,"790,4",0,1202,0,0,"885,3",0,0,"1320,1",0,"284,9",0,"0,1",0,100,0,"847,7",0,0,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,11 - 12,0,837,0,1222,0,0,"482,2",0,0,"1353,1",0,"624,9",0,0,0,100,0,"858,5",0,0,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
01-01-2020,12 - 13,0,"912,6",0,1082,0,0,"52,8",0,0,"1153,2",0,"969,3",0,0,0,100,0,"890,2",0,0,150,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
