date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,EE,LV,LV,LT,LT,AT,AT,BE,BE,DE-LU,DE-LU,FR,FR,NL,NL
01 - 20,"287,42","254,59","254,59","254,66","254,73","254,66","265,35","282,97","305,72","305,72","305,72","259,18","259,18","257,78","269,94","269,94","269,94",,,,,
02 - 20,"262,95","254,30","254,30","265,90","279,88","271,17","287,05","287,61","270,74","270,74","270,70","257,58","257,58","257,38",,"287,67",,"287,67",,"287,67",,,,,,,,,,
03 - 20,"238,59","233,50","233,50","238,79","264,49","266,34","251,32","263,59","241,90","241,90","241,90","236,13","236,13","236,13",,"302,96",,"302,96",,"302,96",,,,,,,,,,
04 - 20,"206,85","203,65","203,65","205,98","278,00","254,18","216,14","285,45","208,49","208,49","208,49","203,65","203,65","203,65",,"307,37",,"307,37",,"307,37",,,,,,,,,,
05 - 20,"194,30","192,17","192,17","193,57","198,22","264,26","181,50","188,42","196,06","196,06","196,06","196,21","196,21","194,89",,"316,46",,"316,46",,"316,46",,,,,,,,,,
06 - 20,"166,26","161,64","161,64","200,08","203,78","243,54","218,67","221,45","163,27","163,27","163,27","163,20","163,20","163,10",,"277,75",,"277,75",,"277,75",,,,,,,,,,
07 - 20,"124,87","123,51","123,51","161,75","164,31","240,35","153,99","168,50","122,66","122,66","122,66","128,02","128,02","128,02",,"300,44",,"300,44",,"291,05",,,,,,,,,,
08 - 20,"98,07","100,02","100,02","135,95","135,95","192,51","118,60","135,95","97,80","96,13","97,80","102,72","102,72","102,72",,"238,73",,"238,73",,"236,47",,,,,,,,,,
09 - 20,"130,00","193,02","193,02","248,18","249,12","335,56","225,46","249,82","105,74","101,55","105,74","153,28","153,28","153,28",,"340,55",,"338,39",,"338,13",,,,,,,,,,
10 - 20,"133,84","143,83","143,83","230,37","273,85","278,42","309,83","311,21","106,86","106,24","106,85","143,80","143,80","143,80",,"306,25",,"306,25",,"306,25",,,,,,,,,,
11 - 20,"100,66","100,41","100,41","110,24","147,21","216,84","164,15","181,96","95,75","95,72","95,75","100,41","100,41","100,41",,"264,42",,"264,42",,"263,73",,,,,,,,,,
