Date,Hours,NO2 > NL,NL > NO2,NO1 > NO2,NO2 > NO1,NO1 > SE3,SE3 > NO1,NO4 > SE2,SE2 > NO4,SE2 > NO3,NO3 > SE2,NO2 > DK1,DK1 > NO2,NO3 > NO4,NO4 > NO3,NO4 > SE1,SE1 > NO4,NO1 > NO3,NO3 > NO1,NO1 > NO5,NO5 > NO1,NO5 > NO2,NO2 > NO5,NO3 > NO5,NO5 > NO3,NO2 > DE,DE > NO2
01-01-2021,00 - 01,723,0,0,0,0,"61,3",150,0,0,600,1632,0,0,1000,650,0,0,250,0,"1908,6","351,1",0,150,0,722,0
01-01-2021,01 - 02,723,0,"398,5",0,0,617,150,0,0,600,1632,0,0,1000,650,0,0,250,0,1673,500,0,150,0,722,0
01-01-2021,02 - 03,723,0,"1015,8",0,0,"1284,9",150,0,0,600,1632,0,0,1000,650,0,0,250,0,"1549,5",500,0,150,0,722,0
01-01-2021,03 - 04,723,0,"1203,6",0,0,"1462,4",150,0,0,600,1632,0,0,1000,650,0,0,250,0,"1516,1",500,0,150,0,722,0
01-01-2021,04 - 05,723,0,"1200,2",0,0,"1411,1",150,0,0,600,1632,0,0,1000,650,0,0,250,0,"1555,8",500,0,150,0,722,0
01-01-2021,05 - 06,723,0,"939,8",0,0,"1191,4",150,0,0,600,1632,0,0,1000,650,0,0,250,0,1583,500,0,150,0,722,0
01-01-2021,06 - 07,723,0,"322,5",0,0,"627,1",150,0,0,600,1632,0,0,1000,650,0,0,250,0,"1712,2",500,0,150,0,722,0
01-01-2021,07 - 08,723,0,0,0,"14,8",0,150,0,0,600,1632,0,0,1000,650,0,0,250,0,"2122,5","376,4",0,"125,4",0,722,0
01-01-2021,08 - 09,723,0,0,"30,2","352,6",0,150,0,0,600,1632,0,0,1000,650,0,0,250,0,"2471,7",0,0,"65,6",0,722,0
01-01-2021,09 - 10,723,0,0,"209,1","427,5",0,150,0,0,600,1632,0,0,1000,650,0,0,250,0,"2446,6",0,0,"6,1",0,722,0
01-01-2021,10 - 11,723,0,0,"428,8","937,6",0,150,0,0,"538,6",1632,0,0,1000,650,0,0,250,0,"2827,6",0,0,0,0,722,0
01-01-2021,11 - 12,723,0,0,"596,7","1222,7",0,150,0,0,"504,2",1632,0,0,1000,650,0,0,250,0,"3047,9",0,0,0,0,722,0
01-01-2021,12 - 13,723,0,0,"600,1","1226,6",0,150,0,0,"492,8",1632,0,0,1000,650,0,0,250,0,"3106,8",0,0,0,0,722,0
01-01-2021,13 - 14,723,0,0,612,"1321,6",0,150,0,0,"478,5",1632,0,0,"980,4",650,0,0,250,0,"3215,4",0,0,0,0,722,0
01-01-2021,14 - 15,723,0,0,691,1549,0,150,0,0,"480,7",1632,0,0,"986,9","606,6",0,0,250,0,3407,0,0,0,0,722,0
01-01-2021,15 - 16,723,0,0,"771,9",1824,0,150,0,0,"473,6",1632,0,0,1000,"581,9",0,0,250,0,"3647,1",0,0,0,0,722,0
01-01-2021,16 - 17,723,0,0,"721,6",1845,0,150,0,0,"486,6",1632,0,0,1000,"596,3",0,0,250,0,"3810,9",0,0,0,0,722,0
01-01-2021,17 - 18,723,0,0,"738,7",1845,0,150,0,0,"529,3",1632,0,0,1000,"614,6",0,0,250,0,"3810,7",0,0,0,0,722,0
01-01-2021,18 - 19,723,0,0,"740,6","1808,1",0,150,0,0,584,1632,0,0,1000,"590,7",0,0,250,0,"3703,1",0,0,0,0,722,0
01-01-2021,19 - 20,723,0,0,"643,2","1608,3",0,150,0,0,600,1632,0,0,"957,3","624,9",0,0,250,0,"3573,9",0,0,0,0,722,0
01-01-2021,20 - 21,723,0,0,529,"1462,8",0,150,0,0,600,1632,0,0,"945,9",650,0,0,250,0,"3430,3",0,0,"61,3",0,722,0
01-01-2021,21 - 22,723,0,0,"556,7","1664,1",0,150,0,0,600,1632,0,0,"957,2",650,0,0,250,0,"3489,2",0,0,150,0,722,0
