date,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
01 - 21,"519,59","547,50","547,50","552,44","557,76","554,21","558,99","562,38","548,93","548,93","548,93","527,45","527,45","289,75","554,52","554,52","557,76",,,,,
02 - 21,"507,14","463,90","463,90","562,38","566,31","603,89","560,07","567,74","559,48","559,33","559,33","460,83","460,83","433,73","619,90","619,41","620,13",,,,,
03 - 21,"407,95","387,56","387,56","416,51","426,22","488,53","429,93","435,50","419,36","419,36","419,90","378,14","378,14","355,92","539,75","539,75","540,30",,,,,
04 - 21,"545,21","527,11","527,11","575,54","575,57","578,62","566,48","577,70","571,22","565,18","568,12","525,69","525,69","486,83","578,62","578,62","578,64",,,,,
05 - 21,"545,60","542,35","542,35","636,81","636,81","644,78","467,82","636,81","636,56","502,78","632,62","542,54","542,54","503,29","644,78","644,78","650,41",,,,,
06 - 21,"584,28","496,47","496,47","698,85","698,85","712,87","615,63","698,85","698,15","626,72","698,15","496,47","496,47","483,61","713,28","713,28","713,28",,,,,
07 - 21,"456,28","420,08","420,08","495,72","499,13","617,73","456,27","499,51","483,48","460,06","483,48","411,31","411,31","401,54","641,86","641,85","641,85",,,,,
08 - 21,"341,41","321,53","321,53","355,32","383,06","374,66","405,16","410,08","362,07","362,07","362,07","312,81","312,81","312,20","433,47","433,47","434,32",,,,,
09 - 21,"348,33","258,80","258,80","375,23","469,07","387,58","493,77","488,98","422,22","422,22","422,22","258,80","258,80","258,80","480,72","480,72","498,05",,,,,
10 - 21,"361,93","272,95","272,95","410,28","435,78","443,34","365,58","437,34","434,80","434,43","434,80","273,11","273,11","273,11","444,53","444,53","466,12",,,,,
11 - 21,"394,48","292,08","292,08","411,56","510,14","429,86","515,10","513,07","439,39","439,39","439,39","290,67","290,67","282,18","443,64","443,64","528,43",,,,,
12 - 21,"313,49","216,46","216,46","309,45","443,32","341,51","462,55","476,32","403,58","403,58","403,58","217,24","217,24","217,18","385,64","385,64","460,99",,,,,
13 - 21,"249,94","176,67","176,67","237,11","339,93","260,69","394,53","387,67","362,28","362,28","368,39","176,97","176,97","177,23","376,33","376,33","390,03",,,,,
14 - 21,"299,30","195,73","195,73","274,80","327,90","289,99","339,30","354,00","386,80","358,45","374,38","201,63","201,63","201,63","341,17","341,17","348,21",,,,,
15 - 21,"446,77","258,19","258,19","409,85","500,46","433,10","577,36","566,70","511,83","506,26","482,93","258,54","258,54","251,37","495,19","495,19","512,51",,,,,
16 - 21,"363,86","225,14","221,65","243,31","423,56","312,85","516,53","514,08","446,08","446,08","446,17","261,87","261,87","241,50","437,31","437,31","442,73",,,,,
17 - 21,"527,65","498,63","498,63","513,29","550,22","540,24","578,64","572,62","535,56","533,93","535,56","506,82","506,82","496,24","568,24","568,24","580,72",,,,,
18 - 21,"508,23","485,79","485,79","487,73","488,92","526,76","459,77","486,92","534,80","534,53","542,75","494,27","494,27","488,34","531,14","531,14","532,33",,,,,
19 - 21,"438,40","328,38","328,38","359,23","399,91","366,72","618,07","604,21","494,73","494,95","494,96","326,25","326,25","315,24","399,91","399,91","399,91",,,,,
20 - 21,"394,90","329,49","329,49","386,09","425,61","457,62","505,88","521,56","425,94","426,08","426,24","311,32","311,32","252,04","472,71","472,71","472,71",,,,,
21 - 21,"424,35","375,88","375,88","474,26","590,06","493,40","593,39","602,79","479,46","480,69","479,46","319,02","319,02","233,74","537,13","537,13","612,22",,,,,
22 - 21,"487,58","427,51","427,51","468,30","634,49","541,46","651,92","649,60","496,59","555,55","496,59","409,72","409,72","231,83","622,48","633,99","678,43",,,,,
23 - 21,"436,15","402,61","402,61","419,17","635,80","537,35","640,66","645,03","461,51","498,61","460,41","407,34","407,34","180,80","718,22","723,49","725,77",,,,,
24 - 21,"389,23","263,81","263,81","354,98","744,31","603,36","765,37","753,82","438,42","519,62","438,42","277,59","277,59","214,26","696,31","770,39","795,50",,,,,
25 - 21,"432,74","303,16","303,16","362,31","853,71","516,24","852,35","854,65","468,25","588,07","468,25","324,45","324,45","219,14","777,33","873,30","873,30",,,,,
26 - 21,"530,46","409,33","409,33","481,67","906,38","764,51","910,67","912,95","521,14","612,90","521,14","419,16","419,16","220,79","898,06","923,91","923,91",,,,,
27 - 21,"581,42","552,93","589,43","679,36","764,01","827,67","921,49","927,89","581,08","598,49","581,08","533,95","533,95","223,75","861,67","927,04","927,04",,,,,
