Regulating prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 24-11-2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,NO1,,NO2,,NO3,,NO4,,NO5,,SE1,,SE2,,SE3,,SE4,,FI,,DK1,,DK2,
,Hours,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down,Up,Down
01-01-2021,00 - 01,"263,15","195,12","263,15","195,12","250,70","195,12","196,70","195,12","263,15","195,12",,,,,,,,,,,,,,
01-01-2021,01 - 02,"256,82","256,82","256,82","256,82","241,84","241,84","196,28","196,28","256,82","256,82",,,,,,,,,,,,,,
01-01-2021,02 - 03,"252,92","252,92","252,92","252,92","249,75","249,75","195,86","195,86","252,92","252,92",,,,,,,,,,,,,,
01-01-2021,03 - 04,"250,17","250,17","250,17","250,17","249,23","249,23","195,86","195,86","250,17","250,17",,,,,,,,,,,,,,
01-01-2021,04 - 05,"250,28","250,28","250,28","250,28","250,07","250,07","196,07","196,07","250,28","250,28",,,,,,,,,,,,,,
01-01-2021,05 - 06,"253,76","253,76","253,76","253,76","251,97","251,97","196,91","196,91","253,76","253,76",,,,,,,,,,,,,,
01-01-2021,06 - 07,"257,77","257,77","257,77","257,77","256,92","256,92","197,33","197,33","257,77","257,77",,,,,,,,,,,,,,
01-01-2021,07 - 08,"262,94","262,94","262,94","262,94","262,94","262,94","195,33","195,33","262,94","262,94",,,,,,,,,,,,,,
01-01-2021,08 - 09,"262,62","262,62","262,62","262,62","262,62","262,62","196,39","196,39","262,62","262,62",,,,,,,,,,,,,,
01-01-2021,09 - 10,"264,41","221,49","264,41","221,49","264,41","221,49","198,28","198,28","264,41","221,49",,,,,,,,,,,,,,
01-01-2021,10 - 11,"270,32","221,49","270,32","221,49","270,32","221,49","199,76","199,76","270,32","221,49",,,,,,,,,,,,,,
01-01-2021,11 - 12,"273,38","242,58","273,38","242,58","273,38","242,58","200,39","200,39","273,38","242,58",,,,,,,,,,,,,,
01-01-2021,12 - 13,"275,59","255,24","275,59","255,24","275,59","255,24","241,32","241,32","275,59","255,24",,,,,,,,,,,,,,
01-01-2021,13 - 14,"280,23","255,24","280,23","255,24","280,23","255,24","280,23","255,24","280,23","255,24",,,,,,,,,,,,,,
01-01-2021,14 - 15,"287,93","255,24","287,93","255,24","287,93","255,24","287,93","255,24","287,93","255,24",,,,,,,,,,,,,,
01-01-2021,15 - 16,"301,75","301,75","301,75","301,75","301,75","301,75","301,75","301,75","301,75","301,75",,,,,,,,,,,,,,
01-01-2021,16 - 17,"309,55","309,55","309,55","309,55","319,05","319,05","319,05","319,05","309,55","309,55",,,,,,,,,,,,,,
01-01-2021,17 - 18,"309,03","270,00","309,03","270,00","318,41","270,00","318,41","270,00","309,03","270,00",,,,,,,,,,,,,,
01-01-2021,18 - 19,"303,96","270,00","303,96","270,00","303,96","270,00","303,96","270,00","303,96","270,00",,,,,,,,,,,,,,
01-01-2021,19 - 20,"297,95","263,68","297,95","263,68","297,95","263,68","297,95","263,68","297,95","263,68",,,,,,,,,,,,,,
01-01-2021,20 - 21,"288,14","253,13","288,14","253,13","288,14","253,13","288,14","253,13","288,14","253,13",,,,,,,,,,,,,,
01-01-2021,21 - 22,"284,56","241,21","284,56","241,21","263,57","241,21","263,57","241,21","284,56","241,21",,,,,,,,,,,,,,
01-01-2021,22 - 23,"278,86","241,21","278,86","241,21","241,74","241,21","241,74","241,21","278,86","241,21",,,,,,,,,,,,,,
01-01-2021,23 - 00,"270,43","238,78","270,43","238,78","230,03","230,03","230,03","230,03","270,43","238,78",,,,,,,,,,,,,,
02-01-2021,00 - 01,"267,93","230,00","267,93","230,00","230,66","230,00","203,65","203,65","267,93","230,00",,,,,,,,,,,,,,
02-01-2021,01 - 02,"260,82","219,88","260,82","219,88","231,29","219,88","203,12","203,12","260,82","219,88",,,,,,,,,,,,,,
02-01-2021,02 - 03,"259,04","210,00","259,04","210,00","230,35","210,00","202,81","202,81","259,04","210,00",,,,,,,,,,,,,,
02-01-2021,03 - 04,"258,20","210,00","258,20","210,00","230,66","210,00","203,44","203,44","258,20","210,00",,,,,,,,,,,,,,
02-01-2021,04 - 05,"258,83","219,88","258,83","219,88","231,29","219,88","203,86","203,86","258,83","219,88",,,,,,,,,,,,,,
02-01-2021,05 - 06,"260,92","219,88","260,92","219,88","246,68","219,88","204,17","204,17","260,92","219,88",,,,,,,,,,,,,,
02-01-2021,06 - 07,"268,25","209,41","268,25","209,41","255,58","209,41","204,17","204,17","268,25","209,41",,,,,,,,,,,,,,
02-01-2021,07 - 08,"274,22","215,00","274,22","215,00","269,51","215,00","209,93","209,93","274,22","215,00",,,,,,,,,,,,,,
02-01-2021,08 - 09,"279,56","230,35","279,56","230,35","270,87","230,35","217,57","217,57","279,56","230,35",,,,,,,,,,,,,,
02-01-2021,09 - 10,"281,55","230,35","281,55","230,35","281,55","230,35","237,78","230,35","281,55","230,35",,,,,,,,,,,,,,
02-01-2021,10 - 11,"290,03","230,35","290,03","230,35","290,03","230,35","273,17","230,35","290,03","230,35",,,,,,,,,,,,,,
02-01-2021,11 - 12,"294,11","240,00","294,11","240,00","311,60","240,00","311,60","240,00","294,11","240,00",,,,,,,,,,,,,,
02-01-2021,12 - 13,"291,49","240,82","291,49","240,82","299,66","240,82","299,66","240,82","291,49","240,82",,,,,,,,,,,,,,
02-01-2021,13 - 14,"291,49","240,82","291,49","240,82","300,71","240,82","300,71","240,82","291,49","240,82",,,,,,,,,,,,,,
02-01-2021,14 - 15,"292,23","251,29","292,23","251,29","302,49","251,29","302,49","251,29","292,23","251,29",,,,,,,,,,,,,,
02-01-2021,15 - 16,"294,01","261,76","294,01","261,76","416,09","261,76","372,11","261,76","294,01","261,76",,,,,,,,,,,,,,
02-01-2021,16 - 17,"366,46","302,07","366,46","302,07","616,49","616,49","366,57","366,57","366,46","302,07",,,,,,,,,,,,,,
02-01-2021,17 - 18,"400,00","302,91","400,00","302,91","633,56","633,56","400,00","335,99","400,00","302,91",,,,,,,,,,,,,,
02-01-2021,18 - 19,"400,00","298,72","400,00","298,72","626,54","626,54","400,00","330,97","400,00","298,72",,,,,,,,,,,,,,
02-01-2021,19 - 20,"395,00","298,51","395,00","298,51","395,00","313,48","395,00","246,78","395,00","298,51",,,,,,,,,,,,,,
02-01-2021,20 - 21,"308,87","286,68","308,87","286,68","308,87","286,68","308,87","225,22","308,87","286,68",,,,,,,,,,,,,,
02-01-2021,21 - 22,"282,28","282,28","282,28","282,28","282,28","282,28","217,68","217,68","282,28","282,28",,,,,,,,,,,,,,
02-01-2021,22 - 23,"281,13","281,13","281,13","281,13","281,13","281,13","216,74","216,74","281,13","281,13",,,,,,,,,,,,,,
02-01-2021,23 - 00,"271,60","271,60","271,60","271,60","271,60","271,60","208,04","208,04","271,60","271,60",,,,,,,,,,,,,,
03-01-2021,00 - 01,"284,16","264,58","284,16","264,58","284,16","264,58","284,16","239,67","284,16","264,58",,,,,,,,,,,,,,
03-01-2021,01 - 02,"282,70","257,46","282,70","257,46","282,70","257,46","282,70","227,00","282,70","257,46",,,,,,,,,,,,,,
03-01-2021,02 - 03,"282,70","249,82","282,70","249,82","282,70","249,82","282,70","212,34","282,70","249,82",,,,,,,,,,,,,,
03-01-2021,03 - 04,"246,78","246,78","246,78","246,78","246,78","246,78","209,20","209,20","246,78","246,78",,,,,,,,,,,,,,
03-01-2021,04 - 05,"245,95","245,95","245,95","245,95","245,95","245,95","209,09","209,09","245,95","245,95",,,,,,,,,,,,,,
03-01-2021,05 - 06,"249,72","249,72","249,72","249,72","249,72","249,72","209,30","209,30","249,72","249,72",,,,,,,,,,,,,,
03-01-2021,06 - 07,"251,81","251,81","251,81","251,81","251,81","251,81","208,57","208,57","251,81","251,81",,,,,,,,,,,,,,
03-01-2021,07 - 08,"259,66","240,82","259,66","240,82","259,66","240,82","208,46","208,46","259,66","240,82",,,,,,,,,,,,,,
03-01-2021,08 - 09,"261,44","230,35","261,44","230,35","261,44","230,35","208,57","208,57","261,44","230,35",,,,,,,,,,,,,,
03-01-2021,09 - 10,"268,56","230,35","268,56","230,35","268,56","230,35","218,83","218,83","268,56","230,35",,,,,,,,,,,,,,
03-01-2021,10 - 11,"272,23","230,35","272,23","230,35","272,23","230,35","251,92","230,35","272,23","230,35",,,,,,,,,,,,,,
03-01-2021,11 - 12,"272,96","230,35","272,96","230,35","272,96","230,35","261,55","230,35","272,96","230,35",,,,,,,,,,,,,,
03-01-2021,12 - 13,"270,87","214,43","270,87","214,43","270,87","214,43","262,80","214,43","270,87","214,43",,,,,,,,,,,,,,
03-01-2021,13 - 14,"270,45","210,00","270,45","210,00","270,45","210,00","263,54","210,00","270,45","210,00",,,,,,,,,,,,,,
